book_id,location.city,location.country,location.world,mood,period.century,period.era,period.historical_event_context,source
22499086,,United States,real,"somber, uplifting, suspenseful",21st,contemporary,"post-Don't Ask, Don't Tell repeal",mistral-large-latest
27189830,,,real,"intriguing, contemplative",,,,mistral-large-latest
22642971,,,fictional,"suspenseful, uncertain",future,futuristic,,mistral-large-latest
2250580,,,mixed,"playful, whimsical",,future,,mistral-large-latest
27189834,Barcelona,Spain,real,"romantic, hopeful",20th,modernist movement,construction of Sagrada Familia,mistral-large-latest
316994,Itaguaí,Brazil,real,"darkly humorous, unsettling",19th,Realism,,mistral-large-latest
15837688,,,mixed,"ominous, urgent",,,,mistral-large-latest
1341793,,Armenia,real,"melancholic, introspective",20th,post-Cold War,Nagorno-Karabakh conflict (1994),mistral-large-latest
25166650,"New York, California",United States,real,"introspective, energetic",20th,,,mistral-large-latest
17666476,Québec,Canada,real,"thought-provoking, urgent",21st,contemporary,,mistral-large-latest
16158996,Paddington,United Kingdom,real,"intriguing, tense",20th,post-World War II,,mistral-large-latest
17368265,Roaring Fork,United States,real,"ominous, urgent",19th,Victorian,Colorado mining boom,mistral-large-latest
25823101,Istanbul,Turkey,real,"tense, melancholic, hopeful",20th,World War II,"Nazi Germany, Jewish emigration, pre-WWII tensions",mistral-large-latest
27036535,,,real,"foreboding, sensual, dangerous",,,,mistral-large-latest
27036536,,"Germany, Israel, Syria",real,"horrifying, tense",20th,"World War II, Yom Kippur War","World War II aerial combat, 1973 Arab-Israeli War, Soviet invasion of Germany (1945)",mistral-large-latest
27036537,,,fictional,"tense, desperate",,post-apocalyptic,,mistral-large-latest
26096065,,United States,real,"reflective, witty",,contemporary,,mistral-large-latest
9303668,,,real,"tense, unsettling",,contemporary,,mistral-large-latest
23992420,,,fictional,"tense, urgent",,futuristic,,mistral-large-latest
27036538,,,fictional,"dread, desperation",21st,post-apocalyptic,global devastation by the Crossed,mistral-large-latest
27036539,,"Ireland, Germany, Japan, United States",real,"tense, somber, intense",20th,World War II,"Second World War, Irish neutrality, Irish War of Independence, Irish Civil War",mistral-large-latest
12546931,,,real,"uneasy, confrontational",,contemporary,measles epidemic,mistral-large-latest
23566090,,,real,,,,,mistral-large-latest
778285,,Russia,real,"chilling, suspenseful",20th,Cold War,,mistral-large-latest
23272155,,South Korea,real,"suspenseful, tense",,contemporary,,mistral-large-latest
31556136,Savannah,United States,real,"melancholic, hopeful",21st,contemporary,,mistral-large-latest
23272157,Pasadena,United States,real,"tense, suspenseful",,contemporary,,mistral-large-latest
3281038,,Germany,real,"tense, urgent, admiring",20th,World War II,"Battle of the Bulge, Allied counterintelligence operations",mistral-large-latest
18877509,,,real,,,,,mistral-large-latest
35568287,,,real,"uneasy, tense",,,,mistral-large-latest
20924358,,Iraq,real,"action-packed, absurd",21st,contemporary,Iraq War,mistral-large-latest
12997075,,,real,"nostalgic, longing",,ancient,,mistral-large-latest
554378,,,fictional,"tense, hopeful",,far future,,mistral-large-latest
13827842,Jersey City,United States,real,"urgent, nostalgic",20th,Cold War,JFK assassination,mistral-large-latest
8030992,,United States,real,"contemplative, hopeful",20th,,,mistral-large-latest
18628483,Calvary,United States,real,"tense, melancholic, hopeful",,contemporary,,mistral-large-latest
16693030,,,real,"moving, melancholic, tense",,contemporary,,mistral-large-latest
8030991,,,real,"tense, urgent",,,,mistral-large-latest
14781355,Los Angeles,United States,real,"cynical, absurd",20th,post-WWII,,mistral-large-latest
18134258,,,mixed,"hopeful, uncertain",,,,mistral-large-latest
16693035,Pushkar,India,real,"reverent, educational",,contemporary,,mistral-large-latest
968456,Duluth,United States,real,"tense, suspenseful",20th,modern,Glensheen killings,mistral-large-latest
16250763,Robinson,United States,real,"melancholic, hopeful, raw",20th,late 20th century,"AIDS epidemic, gay rights movement",mistral-large-latest
16250767,,,real,"sweet, playful",,,,mistral-large-latest
9955028,,United States,real,"introspective, tense",21st,contemporary,,mistral-large-latest
16250765,,,real,"lighthearted, playful",,,,mistral-large-latest
16250764,,,real,"lighthearted, whimsical",,,,mistral-large-latest
20971607,,,real,"oppressive, melancholic",,,,mistral-large-latest
25896980,,United Kingdom,mixed,"surreal, wondering",19th,Victorian,,mistral-large-latest
15773972,Parigi,Francia,real,"tensione, intrigo",18°,pre-rivoluzionaria,Affare della collana,mistral-large-latest
20971603,Paris,France,real,"dramatic, adventurous",18th,French Revolution,French Revolution,mistral-large-latest
24614930,,,real,"tense, warm",,contemporary,,mistral-large-latest
26106944,Greybrook,United States,real,"longing, hopeful",21st,contemporary,,mistral-large-latest
16037540,,,fictional,"tense, adventurous",,,,mistral-large-latest
20882012,"Washington, D.C.",United States,real,"tense, urgent, introspective",21st,Post-9/11,Iraq War,mistral-large-latest
958988,,England,real,"intense, romantic",11th,Medieval,Norman Conquest,mistral-large-latest
18628484,,,real,"hopeful, tragic",,,,mistral-large-latest
20193550,London,United Kingdom,real,"solemn, thought-provoking",20th,modern,"First World War, Vietnam War, Darwin's voyage on the Beagle, Russian Tsar's court, Marxist movements, Nazi ideologies",mistral-large-latest
926660,Minneapolis,United States,real,"suspenseful, ominous",21st,,,mistral-large-latest
926662,,,real,playful,,,,mistral-large-latest
926667,,,real,thought-provoking,21st,modern,,mistral-large-latest
15773978,,,real,"tense, introspective",,,,mistral-large-latest
16103386,,,real,,,,,mistral-large-latest
16103380,,,fictional,"bleak, tense",,post-apocalyptic,,mistral-large-latest
16081442,,,real,"romantic, playful",,contemporary,,mistral-large-latest
10573356,Saint Petersburg,Russia,real,"oppressive, tense, melancholic",19th,Victorian,post-reform Russia,mistral-large-latest
10573355,Bamako,Mali,real,"tense, intriguing",,,,mistral-large-latest
16103388,,Thailand,real,"melancholic, passionate",,contemporary,,mistral-large-latest
8037411,New York City,United States,real,"nostalgic, playful",20th,mid-20th century,,mistral-large-latest
8529354,,,real,"thought-provoking, urgent",,modern,,mistral-large-latest
11738076,,"France, England",real,"urgent, suspenseful",18th,War of the Spanish Succession,Duke of Marlborough's resignation as Commander-in-Chief,mistral-large-latest
6866862,,,mixed,"suspenseful, foreboding",,,,mistral-large-latest
2097274,,United States,mixed,"tense, melancholic",19th,Wild West,post-Civil War America,mistral-large-latest
25421507,Hazard,United States,real,"tense, melancholic",20th,,,mistral-large-latest
25162658,,,mixed,"steamy, tense",,,,mistral-large-latest
16174656,,,real,"whimsical, playful",,,,mistral-large-latest
30413316,,,fictional,"tense, emotional",,,invasion and colonization,mistral-large-latest
1187380,,,real,utilitarian,,,,mistral-large-latest
18656391,,"Cintra, Niflgaard",fictional,"tense, gritty",,fantasy medieval,"war, coup, magic under threat",mistral-large-latest
11371089,Toronto,Canada,real,"tense, melancholic",21st,contemporary,,mistral-large-latest
31738891,,,real,"tense, hopeful",,contemporary,,mistral-large-latest
7351310,,Arab world,real,reflective,20th,,Arab intellectual and cultural renaissance (Nahda),mistral-large-latest
7214750,,,real,"urgent, provocative",,post-Cold War,fall of the Soviet Union,mistral-large-latest
20236329,,France,real,"thought-provoking, reflective",19th,,,mistral-large-latest
6375329,,Ireland,real,"melancholic, longing",,historical,Irish emigration to America,mistral-large-latest
28251011,,,real,"curious, inspired",21st,contemporary,,mistral-large-latest
828185,,,real,"playful, encouraging",,,,mistral-large-latest
31124996,,United States,real,"tense, passionate",21st,contemporary,,mistral-large-latest
31124995,,,real,"tense, passionate, playful",,,,mistral-large-latest
31124994,Paris,France,real,"provocative, melancholic",19,Second Empire,France's Gilded Age,mistral-large-latest
828180,,Ireland,real,"tense, shocking",20th,World War I,Sinking of the RMS Lusitania,mistral-large-latest
23301515,Mecca,Arabia,real,"reverent, contemplative",7th,Pre-Islamic and early Islamic,Rise of Islam,mistral-large-latest
828189,,Africa,mixed,"suspenseful, romantic",19th,Victorian,,mistral-large-latest
23301510,Warner Pier,United States,real,"suspenseful, tense",,contemporary,,mistral-large-latest
31124999,,,fictional,"urgent, dangerous",,fantasy,,mistral-large-latest
23336818,Swansea,United Kingdom,real,"tense, humorous",21st,contemporary,,mistral-large-latest
17279616,,Palestine,real,melancholic,20th,,,mistral-large-latest
6646561,Atlanta,United States,real,"suspenseful, chilling",,contemporary,,mistral-large-latest
25719218,,"Australia, New Zealand, Malaysia",real,"engaging, curious, concerned",20,modern,,mistral-large-latest
30056199,,,real,,,,,mistral-large-latest
1488662,,United States,real,"tense, admiring",19th,Civil War,American Civil War,mistral-large-latest
1488661,,United Kingdom,real,"tense, intriguing",19th,Victorian,American Civil War,mistral-large-latest
29065952,,,real,"somber, hopeful, intimate",,,,mistral-large-latest
19407047,,England,real,"hopeful, melancholic",21st,contemporary,,mistral-large-latest
30807926,,,fictional,"suspenseful, dangerous",,,,mistral-large-latest
13598466,Dildo,Canada,real,"inviting, nostalgic",,contemporary,,mistral-large-latest
22926146,,United States,real,"romantic, lighthearted",,contemporary,,mistral-large-latest
1263548,,Spain,real,"tense, anticipatory",3rd century BCE,Ancient History,Second Punic War,mistral-large-latest
1035130,,Spain,real,"disillusioned, observational",20th,post-Franco era,PSOE governance in Spain,mistral-large-latest
29345617,,,real,"melancholic, tense",,contemporary,,mistral-large-latest
35129404,,United States,real,"romantic, tender, tense",21st,contemporary,,mistral-large-latest
16180168,,United States,real,,19th,Victorian,,mistral-large-latest
6642589,,Iberian Peninsula,real,"tense, dramatic",3rd century BC,Ancient Rome,Second Punic War,mistral-large-latest
13598469,,,real,lighthearted,,,,mistral-large-latest
25046281,,"India, Pakistan",real,"engaging, thought-provoking","20th, 21st",post-colonial,"Partition of India, Kashmir conflict, Indo-Pak wars",mistral-large-latest
2471306,,Russia,real,"tense, opulent",18th,Age of Enlightenment,Russian expansion and conquests,mistral-large-latest
2471304,Megève,France,real,"melancholic, tense",20th,,,mistral-large-latest
12624257,,,fictional,"joyful, amusing",,,,mistral-large-latest
32065872,,United States,real,"mysterious, tense",,contemporary,,mistral-large-latest
11880408,Rome,Italy,real,"informative, nostalgic",20th,,,mistral-large-latest
31144338,Allport,United States,real,"suspenseful, engaging",21st,contemporary,,mistral-large-latest
13637105,,,mixed,"turmoil, comforting",,contemporary,,mistral-large-latest
17871524,Lindsey Point,United States,real,"suspenseful, romantic",21st,,,mistral-large-latest
4824808,,,real,"hopeful, contemplative",,,,mistral-large-latest
32970513,San Francisco,United States,mixed,"introspective, action-packed, emotionally charged",,contemporary,,mistral-large-latest
17871520,New York,United States,real,"emotional, intimate",20th,1960s,Beatles' first U.S. visit (February 1964),mistral-large-latest
25414982,,United States,real,"suspenseful, dramatic",21st,contemporary,,mistral-large-latest
32336119,,United States,real,"romantic, lighthearted",21st,contemporary,,mistral-large-latest
32317911,,,real,"contemplative, intense",,,,mistral-large-latest
34680604,,,fictional,lighthearted,,,,mistral-large-latest
30340820,,,real,"terrifying, uneasy",20th,,,mistral-large-latest
34680601,Boston,Estados Unidos,real,"intrigante, tenso",19,siglo XIX,,mistral-large-latest
23003914,Grizzly Point,United States,real,"fearful, uneasy, urgent",21st,contemporary,,mistral-large-latest
30340824,,,real,"hopeful, tense",,contemporary,,mistral-large-latest
13639108,,Israel,real,"uneasy, contemplative",,modern,Israeli-Palestinian conflict,mistral-large-latest
30330416,Nazareth,Israel,real,"hopeful, solemn",1st century BCE,Biblical,Roman occupation of Judea,mistral-large-latest
388674,London,England,real,"intriguing, dangerous",16th,Elizabethan,reign of Queen Elizabeth I,mistral-large-latest
18624033,,,fictional,"urgent, mysterious, defiant",,,,mistral-large-latest
388676,New York,United States,real,"adventurous, joyful",20th,mid-20th century,,mistral-large-latest
30330413,,,real,"lighthearted, intense",,,,mistral-large-latest
388678,,,real,"sensual, urgent, emotionally charged",,contemporary,,mistral-large-latest
11981294,,Bulgaria,real,"reflective, melancholic",20th,,,mistral-large-latest
7295549,,Belgium,real,somber,20th,World War II,Holocaust,mistral-large-latest
10729354,London,United Kingdom,real,"tense, claustrophobic",20th,mid-20th century,,mistral-large-latest
25205644,,England,real,mysterious,20th,interwar period,,mistral-large-latest
24700112,,India,real,"tense, mysterious",,contemporary,,mistral-large-latest
23943020,,"United Kingdom, Middle East, Israel, Syria",real,"urgent, paranoid, high-stakes",21st,contemporary,Middle East peace talks,mistral-large-latest
13374002,,Africa,real,"mysterious, hopeful",,contemporary,,mistral-large-latest
28385532,Constantinople,Byzantine Empire,real,"tense, dramatic",15th,Late Middle Ages,Fall of Constantinople,mistral-large-latest
35235890,Venice,Italy,real,"reflective, evocative, haunting",,,,mistral-large-latest
18498572,Reykjavik,Iceland,real,"tense, reflective",20th,Cold War,Reagan-Gorbachev summit,mistral-large-latest
89588,,United States,mixed,"oppressive, mysterious",21st,post-apocalyptic,asteroid impact,mistral-large-latest
18522274,,United States,real,"suspenseful, uncertain",21st,contemporary,,mistral-large-latest
11827783,London,United Kingdom,real,"suspenseful, atmospheric",19th,Victorian,,mistral-large-latest
26160213,,United States,real,"suspenseful, flirty, tense",,contemporary,,mistral-large-latest
12349665,Tokyo,Japan,real,"urgent, paranoid",20th,late 20th century,"post-Cold War, millennial transition",mistral-large-latest
257654,,Austria,real,"warm, uplifting",20th,mid-20th century,,mistral-large-latest
17262776,,,real,"melancholic, hopeful",,post-war,war aftermath,mistral-large-latest
26145465,,Brazil,real,"thoughtful, nostalgic, warm",,,,mistral-large-latest
15861987,,Finland,mixed,"playful, foreboding",,contemporary with fantasy elements,,mistral-large-latest
257653,,United States,real,,,,America's gay and lesbian history,mistral-large-latest
15861985,"Jakarta, Stuttgart","Indonesia, Germany",real,"tense, hopeful",21st,contemporary,,mistral-large-latest
12349663,Tokyo,Japan,real,"ominous, urgent",20th,late 20th century,post-Cold War,mistral-large-latest
15861988,London,United Kingdom,real,"intimate, nostalgic, passionate",21st,contemporary,,mistral-large-latest
1561754,,,real,"inspiring, warm",,,,mistral-large-latest
16066751,,,fictional,"tense, hopeful, forbidden",23rd,futuristic,,mistral-large-latest
89583,,,fictional,"tense, foreboding",,,human colonization,mistral-large-latest
16066754,,United Kingdom,real,"admiring, intimate",20th-21st,late 20th century to present,rise of heavy metal music,mistral-large-latest
14427277,,United States,real,"exciting, engaging",17th,Colonial America,Pilgrims' journey on the Mayflower and early Plymouth Colony,mistral-large-latest
28950979,,,real,"heartbreak, longing",,,,mistral-large-latest
11890856,,,mixed,"melancholic, hopeful, tense",,,,mistral-large-latest
11890857,London,United Kingdom,mixed,"whimsical, passionate, tense",19th,Regency,,mistral-large-latest
14427270,,,real,"hopeful, empowering",,,,mistral-large-latest
25208146,,,real,"mysterious, urgent",,contemporary,,mistral-large-latest
25208140,,,real,"tense, suspenseful",,contemporary,,mistral-large-latest
25208148,Cairo,Egypt,real,"adventurous, tense",21st,contemporary,"Napoleonic era references, Thomas Edison's inventions, Marie Curie's discoveries",mistral-large-latest
25208149,,,real,"mysterious, urgent",,,,mistral-large-latest
16111978,,,real,"contemplative, melancholic",,,,mistral-large-latest
3324070,,,real,"informative, supportive",,contemporary,,mistral-large-latest
30735315,,,real,"uneasy, feverish",,,,mistral-large-latest
17313129,,USA,real,"uneasy, curious",,contemporary,,mistral-large-latest
3760643,,Scotland,real,thought-provoking,,,,mistral-large-latest
18527178,Baalboden,,fictional,"desperate, uncertain",,post-apocalyptic,,mistral-large-latest
30193082,,,real,thought-provoking,,,,mistral-large-latest
13519484,,,mixed,"tense, urgent",,contemporary with supernatural elements,,mistral-large-latest
33019499,,,real,tense,,,,mistral-large-latest
13519483,,,real,"joyful, curious",,,,mistral-large-latest
28191455,,,mixed,"tense, hopeful",,contemporary,,mistral-large-latest
16731475,,,real,"foreboding, claustrophobic, haunting",,contemporary,,mistral-large-latest
12725797,,,fictional,"tense, desperate",,far future,"Warhammer 40,000 universe",mistral-large-latest
19016508,Sweetwater,United States,mixed,"tense, forboding",,contemporary,,mistral-large-latest
21771068,,,real,"motivational, informative",,contemporary,,mistral-large-latest
13519488,Londres,Reino Unido,real,"tensão, paixão, escândalo",19,Era Vitoriana,,mistral-large-latest
17405342,,Japan,real,"tense, hopeful",,contemporary,,mistral-large-latest
25635138,,,real,"longing, dangerous, unreal",,contemporary,,mistral-large-latest
8498672,Boston,United States,real,"gripping, patriotic",18th,American Revolution,"American Revolution, Boston Massacre, Boston Tea Party, Battle of Lexington and Concord, ratification of the U.S. Constitution",mistral-large-latest
1103031,,,real,"hopeful, transformative",,,,mistral-large-latest
2741850,Miami,United States,mixed,"dangerous, intense, seductive",,contemporary,,mistral-large-latest
2741853,,,real,"passionate, tense",,contemporary,,mistral-large-latest
12597209,Bern,Switzerland,real,"uneasy, suspenseful",21st,contemporary,terrorist attacks,mistral-large-latest
28820570,,China,real,"introspective, uneasy",,contemporary,,mistral-large-latest
28820571,,Australia,real,"tense, hopeful",20th,post-World War II,World War II aftermath,mistral-large-latest
1877618,,Canada,real,"warm, engaging, reflective",20th-21st,contemporary,"Underground Railroad, Canadian history",mistral-large-latest
117707,,United States,real,"tragic, introspective",20th,,Jim Bakker's televangelism scandal and imprisonment,mistral-large-latest
29391170,,Bangladesh,real,"hopeful, lonely",,contemporary,,mistral-large-latest
12597207,,,mixed,"tense, melancholic, hopeful",,fantasy,,mistral-large-latest
12077902,,,fictional,"contemplative, uneasy",,futuristic,,mistral-large-latest
1887702,,,real,,,contemporary,,mistral-large-latest
958987,,United States,real,"romantic, socially conscious",20th,,women's movement,mistral-large-latest
6016342,,,mixed,"exciting, playful",,,,mistral-large-latest
34910950,,Canada,real,"intense, nostalgic",20th,mid-to-late 20th century,"biker culture rise, organized crime",mistral-large-latest
7815674,Jakarta,Indonesia,real,"tense, melancholic, urgent",20,contemporary,Indonesian occupation of East Timor,mistral-large-latest
7843586,,,real,"passionate, tense",,contemporary,,mistral-large-latest
7815670,,,real,"contemplative, urgent",,ancient to modern,rise of organized religions,mistral-large-latest
34404233,,,real,"exciting, sensual",,,,mistral-large-latest
13569478,,Philippines,real,"emotional, hopeful",,,,mistral-large-latest
16074814,,,real,"energetic, uplifting",,,,mistral-large-latest
18663978,,United States,real,"tense, engaging",20th,contemporary,,mistral-large-latest
28144874,,,real,"uneasy, chilling",,contemporary,,mistral-large-latest
18663975,,,fictional,"suspenseful, paranoid, urgent",71st,post-human extinction,fourth human extinction,mistral-large-latest
18663972,,,fictional,"tense, intriguing",,futuristic,,mistral-large-latest
8425263,,,real,"uneasy, suspenseful",,,,mistral-large-latest
8425260,,,real,"inspirational, reflective",,,,mistral-large-latest
28484700,,Italy,real,"suspenseful, haunting",,contemporary,,mistral-large-latest
6452080,,United States,real,"nostalgic, whimsical",20th-21st,contemporary,,mistral-large-latest
13340338,,Latvia,real,"melancholic, reflective",20th,,"Latvian independence, Soviet occupation, Latvian national awakening",mistral-large-latest
28109037,Portland,United States,real,"introspective, defiant",20th,contemporary,riot-grrrl movement,mistral-large-latest
22701782,,,real,"melancholic, tender",21st,,,mistral-large-latest
13340336,,,real,"suspenseful, foreboding",21st,,,mistral-large-latest
17399275,,United States,real,"dramatic, inspirational",21st,contemporary,,mistral-large-latest
7943805,,,real,"tense, alluring",,,,mistral-large-latest
9176116,,,fictional,suspenseful,,,cold war,mistral-large-latest
24835465,,United States,real,"paranoid, uneasy",21st,contemporary,,mistral-large-latest
9402756,,Dena Nehele,fictional,"tense, melancholic",,,,mistral-large-latest
17668619,,,real,,21st,,,mistral-large-latest
33022718,,,real,"empowering, thought-provoking",21st,contemporary,"Trump's America, Brexit",mistral-large-latest
18711347,New London,United States,real,"melancholic, uplifting",21st,contemporary,,mistral-large-latest
18711345,,,real,,,,,mistral-large-latest
17794780,,,real,,,,,mistral-large-latest
18711343,,China,real,"hopeful, nostalgic",,contemporary,,mistral-large-latest
18711342,,,real,"hopeful, playful",19th,Victorian,,mistral-large-latest
1650286,,,real,"ominous, paranoid",,contemporary,,mistral-large-latest
22374354,Palm Springs,United States,real,"apprehensive, urgent",21,contemporary,,mistral-large-latest
3113048,London,United Kingdom,real,"urgent, paranoid",20th,Cold War,post-World War II,mistral-large-latest
2168736,New York,United States,real,"melancholic, hopeful",19th-20th,Gilded Age,,mistral-large-latest
2168737,,,mixed,exciting,,modern,,mistral-large-latest
18711348,London,England,real,"passionate, tense, romantic",19th,Regency,,mistral-large-latest
25501128,,,real,"tense, romantic",,contemporary,,mistral-large-latest
581164,,,fictional,"solemn, hopeful",,post-conflict,decades after a religious war between Stone followers and Word disciples,mistral-large-latest
581166,,United Kingdom,fictional,"tense, melancholic",,fantasy-inspired,,mistral-large-latest
10806009,,,real,"suspenseful, melancholic",,,,mistral-large-latest
10806008,,,mixed,adventurous,,fantasy,,mistral-large-latest
18908446,,,real,"contemplative, hopeful",,,,mistral-large-latest
581162,,England,real,"playful, warm",20th,early modern,,mistral-large-latest
10806005,,United States,real,"somber, inspirational",20th,,AIDS epidemic,mistral-large-latest
